Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Year,Country,Match
24,CRA,7,L,C,1,1,7,0,2014,Costa Rica,Costa Rica vs. Greece
24,GRE,4,R,L,1,0,8,0,2014,Greece,Costa Rica vs. Greece
24,CRA,1,R,L,1,1,9,1,2014,Costa Rica,Costa Rica vs. Greece
24,GRE,,,,,,10,,2014,Greece,Costa Rica vs. Greece
25,CRA,9,R,R,1,1,1,0,2014,Costa Rica,Costa Rica vs. Netherlands
25,HOL,9,L,R,1,1,2,0,2014,Netherlands,Costa Rica vs. Netherlands
25,CRA,9,L,R,1,0,3,0,2014,Costa Rica,Costa Rica vs. Netherlands
25,HOL,1,L,R,1,1,4,0,2014,Netherlands,Costa Rica vs. Netherlands
25,CRA,6,R,R,1,1,5,0,2014,Costa Rica,Costa Rica vs. Netherlands
25,HOL,4,R,R,1,1,6,0,2014,Netherlands,Costa Rica vs. Netherlands
25,CRA,1,R,L,1,1,7,0,2014,Costa Rica,Costa Rica vs. Netherlands
25,HOL,7,R,L,1,1,8,0,2014,Netherlands,Costa Rica vs. Netherlands
25,CRA,9,R,R,1,0,9,1,2014,Costa Rica,Costa Rica vs. Netherlands
25,HOL,,,,,,10,,2014,Netherlands,Costa Rica vs. Netherlands
26,HOL,9,R,R,1,0,1,0,2014,Netherlands,Netherlands vs. Argentina
26,ARG,4,L,C,1,1,2,0,2014,Argentina,Netherlands vs. Argentina
26,HOL,9,L,L,1,1,3,0,2014,Netherlands,Netherlands vs. Argentina
26,ARG,2,R,L,1,1,4,0,2014,Argentina,Netherlands vs. Argentina
26,HOL,4,R,L,1,0,5,0,2014,Netherlands,Netherlands vs. Argentina
26,ARG,7,R,L,1,1,6,0,2014,Argentina,Netherlands vs. Argentina
26,HOL,9,R,L,1,1,7,0,2014,Netherlands,Netherlands vs. Argentina
26,ARG,4,R,L,1,1,8,1,2014,Argentina,Netherlands vs. Argentina
26,HOL,,,,,,9,,2014,Netherlands,Netherlands vs. Argentina
26,ARG,,,,,,10,,2014,Argentina,Netherlands vs. Argentina
27,SPA,6,R,C,1,1,1,0,2018,Spain,Spain vs. Russia
27,RUS,4,R,L,1,1,2,0,2018,Russia,Spain vs. Russia
27,SPA,7,R,R,1,1,3,0,2018,Spain,Spain vs. Russia
27,RUS,6,R,L,1,1,4,0,2018,Russia,Spain vs. Russia
27,SPA,7,R,L,1,0,5,0,2018,Spain,Spain vs. Russia
27,RUS,7,R,L,1,1,6,0,2018,Russia,Spain vs. Russia
27,SPA,4,R,R,1,1,7,0,2018,Spain,Spain vs. Russia
27,RUS,8,L,L,1,1,8,0,2018,Russia,Spain vs. Russia
27,SPA,8,L,L,1,0,9,1,2018,Spain,Spain vs. Russia
27,RUS,,,,,,10,,2018,Russia,Spain vs. Russia
28,DEN,7,R,L,1,0,1,0,2018,Denmark,Denmark vs. Croatia
